"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D131,D143,D96,D158,D110,D117,D148,D119,D111,D123,D149,D159,D136,D88,D99,D127,D95,D134,D163,D89,D141,D137,D155,D100,D156,D165,D151,D93,D125,D113,D140,D122,D162,D107,D86,D142,D146,D114,D124,D157,D154,D138,D139,D112,D118,D161,D144,D94,D90,D135,D166,D87,D150,D97,D128,D102,D98,D92,D147,D126,D109,D85,D130,D116,D145,D153,D103,D152,D106,D108,D104,D105,D132,D115,D129,D164,D121,D120,D101,D91,D160,D133";"SK6812MINI_3535_6028_3.2x2.8mm_Round";82;"SK6812MINI-E";;;
2;"D20,D70,D40,D84,D41,D37,D79,D13,D28,D72,D7,D10,D30,D81,D58,D29,D74,D3,D18,D55,D52,D76,D57,D5,D71,D73,D21,D63,D54,D42,D25,D75,D66,D39,D44,D26,D11,D32,D64,D48,D45,D16,D69,D35,D19,D36,D46,D15,D53,D61,D59,D9,D60,D22,D68,D31,D34,D77,D78,D49,D82,D1,D50,D51,D62,D47,D24,D33,D67,D65,D80,D17,D12,D83,D27,D4,D56,D6,D14,D23,D38,D43,D8";"D_SOD-123";83;"1N4148W";;;
3;"R80,R18,R68,R36,R67,R76,R45,R24,R50,R21,R38,R81,R33,R90,R31,R15,R29,R25,R43,R58,R46,R64,R96,R51,R28,R95,R65,R26,R57,R86,R85,R79,R72,R83,R40,R73,R92,R75,R47,R84,R34,R70,R54,R48,R91,R93,R61,R55,R27,R41,R42,R74,R82,R60,R23,R19,R59,R69,R62,R20,R88,R16,R66,R32,R22,R53,R44,R87,R39,R30,R71,R63,R52,R77,R37,R35,R56,R89,R17,R49,R78,R94";"R_0402_1005Metric_1";82;"5.1R";;;
4;"SW56";"MX100H";1;"COLON";;;
5;"SW33";"MX100H";1;"W";;;
6;"SW72";"MX100H";1;"UP";;;
7;"C9,C10";"C_0402_1005Metric";2;"12p";;;
8;"C93,C55,C34,C69,C72,C40,C76,C73,C67,C50,C88,C53,C56,C30,C32,C59,C23,C70,C86,C85,C45,C84,C83,C41,C48,C75,C28,C61,C71,C79,C65,C100,C60,C95,C92,C89,C20,C99,C49,C36,C35,C27,C90,C91,C37,C81,C39,C62,C78,C19,C63,C77,C57,C74,C58,C54,C38,C29,C80,C43,C22,C64,C21,C42,C96,C33,C82,C66,C87,C46,C97,C31,C68,C51,C47,C94,C98,C44,C25,C24,C26,C52";"C_0402_1005Metric_1";82;"100n";;;
9;"SW7";"MX100H";1;"F5";;;
10;"SW81";"MX100H";1;"LEFT";;;
11;"U3";"TSSOP-8_4.4x3mm_P0.65mm";1;"BL24C256A-SFRC";;;
12;"SW70";"MX100H";1;"SLSH";;;
13;"C7,C6,C14,C8,C15";"C_0402_1005Metric";5;"100n";;;
14;"SW37";"MX100H";1;"Y";;;
15;"J2,J3";"SM04B-SRSS-TB(LF)(SN)_mounting-reliefs";2;"SM04B-SRSS-TB(LF)(SN)";;;
16;"SW54";"MX100H";1;"K";;;
17;"SW6";"MX100H";1;"F4";;;
18;"SW74";"MX125H";1;"LCTRL";;;
19;"SW16";"MX100H";1;"GRV";;;
20;"SW12";"MX100H";1;"F10";;;
21;"SW75";"MX125H";1;"WIN";;;
22;"SW39";"MX100H";1;"I";;;
23;"SW11";"MX100H";1;"F9";;;
24;"C12";"C_0402_1005Metric";1;"10n";;;
25;"SW15";"MXA100";1;"KNOB";;;
26;"SW27";"MX100H";1;"MINUS";;;
27;"SW82";"MX100H";1;"DOWN";;;
28;"SW1";"K2-1187SQ-A4SW-06";1;"K2-1187SQ-A4SW-06";;;
29;"U2";"SOT-23";1;"MCP1700T-3302E/TT";;;
30;"SW8";"MX100H";1;"F6";;;
31;"SW71";"MX175H";1;"RSHFT";;;
32;"R2,R1";"R_0805_2012Metric";2;"5.1k";;;
33;"SW83";"MX100H";1;"RIGHT";;;
34;"U1";"SOT-23-6";1;"USBLC6-2SC6";;;
35;"SW41";"MX100H";1;"P";;;
36;"SW9";"MX100H";1;"F7";;;
37;"SW69";"MX100H";1;"DOT";;;
38;"SW18";"MX100H";1;"2";;;
39;"SW24";"MX100H";1;"8";;;
40;"SW44";"MX150H";1;"BSLS";;;
41;"C17,C3,C18,C1";"C_0805_2012Metric";4;"100n";;;
42;"SW31";"MX150H";1;"TAB";;;
43;"C5,C4";"C_0805_2012Metric";2;"1u";;;
44;"C13";"CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder";1;"10u";;;
45;"R7,R6";"R_0805_2012Metric";2;"100k";;;
46;"R3";"R_0805_2012Metric";1;"100R";;;
47;"SW78";"MX100H";1;"RALT";;;
48;"SW26";"MX100H";1;"0";;;
49;"SW46";"MX175H";1;"CAPS";;;
50;"SW50";"MX100H";1;"F";;;
51;"SW5";"MX100H";1;"F3";;;
52;"SW48";"MX100H";1;"S";;;
53;"FB2,FB1";"L_0805_2012Metric";2;"CBW201209U121T";;;
54;"R5";"R_0805_2012Metric";1;"1M";;;
55;"SW64";"MX100H";1;"V";;;
56;"SW55";"MX100H";1;"L";;;
57;"SW51";"MX100H";1;"G";;;
58;"C2";"C_0805_2012Metric";1;"10u";;;
59;"SW3";"MX100H";1;"F1";;;
